編號,車號,進廠日期,進廠時間,出廠日期,出廠時間,客戶,品名,料號,重量,總重,過磅員,序號,過磅方式,卡號,進貨
60512,AAH-813,20250222,195000,20250222,195645,八德區垃圾車,壓6,,9850,16440,八德區清潔隊,45,,0000020507,-1
60513,KEU-1722,20250222,200440,20250222,201122,八德區垃圾車,,,7510,9770,八德區清潔隊,46,,0000048403,-1
60514,KEE-3861,20250222,200931,20250222,201343,八德區垃圾車,壓8,,5880,8000,八德區清潔隊,47,,0000020509,-1
60515,KEP-3822,20250222,201151,20250222,201639,八德區垃圾車,壓21,,7310,10470,八德區清潔隊,48,*,0000020789,-1
60516,KEP-5261,20250222,201428,20250222,202028,八德區垃圾車,壓12,,6520,9650,八德區清潔隊,49,,0000020587,-1
60517,KES-5103,20250222,202626,20250222,203144,八德區垃圾車,壓23,,5140,7800,八德區清潔隊,50,,0000020793,-1
60518,KEP-5256,20250222,202735,20250222,203235,八德區垃圾車,壓18,,6530,8200,八德區清潔隊,51,,0000020585,-1
60519,KEU-1720,20250222,204629,20250222,205059,八德區垃圾車,壓2,,7290,9550,八德區清潔隊,52,,0000048401,-1
60520,KEK-2003,20250224,075729,20250224,080144,八德區清潔隊,定點回收,燈管-廢衣服,4250,4390,八德區清潔隊,1,,0000020549,-1
60521,767-S5,20250222,193722,20250222,195222,八德區垃圾車,壓16,,9960,14050,八德區清潔隊,40,#,,-1
60522,KEP-5260,20250222,192833,20250222,194533,八德區垃圾車,壓19,,6480,8320,八德區清潔隊,40,#,,-1
60523,KEA-7213,20250223,141334,20250223,143534,八德區清潔隊,市場車,,8600,11440,八德區清潔隊,53,#,,-1
60524,980-VM,20250223,141416,20250223,143516,八德區清潔隊,市場車,,9000,10650,八德區清潔隊,53,#,,-1
60525,LAG-219,20250224,052007,20250224,063007,正億,,垃圾,18000,36700,八德區清潔隊,8,#,,-1
60526,KLN-3132,20250224,052542,20250224,064042,正億,,垃圾,18360,36100,八德區清潔隊,7,#,,-1
60527,AAJ-351,20250224,084312,20250224,085031,大溪區中隊,,彈簧床,8860,9440,八德區清潔隊,8,,,-1
60528,KEK-3327,20250221,104555,20250221,104555,龜山區中隊,,彈簧床,9070,10240,八德區清潔隊,8,#,,-1
60529,KEC-2782/預備車,20250224,091030,20250224,091519,八德區垃圾車,社區定點,,6260,9770,八德區清潔隊,10,,0000020512,-1
60530,KEQ-5057,20250224,090910,20250224,092036,龜山區中隊,,彈簧床,9060,10450,八德區清潔隊,11,,,-1
60531,KEG-3126,20250224,091309,20250224,092131,楊梅區中隊,,彈簧床,8960,10290,八德區清潔隊,12,,,-1
60532,693-UA,20250224,093641,20250224,093902,中壢區中隊,,彈簧床,4150,4820,八德區清潔隊,13,,,-1
60533,851-UA,20250224,094929,20250224,095419,八德區清潔隊,,,4190,4960,八德區清潔隊,14,,0000020534,-1
60534,953-UN,20250224,095004,20250224,095848,中壢區中隊,中壢(塑膠料),垃圾(塑膠料),19270,33930,八德區清潔隊,15,,,-1
60535,705-UA,20250224,095438,20250224,100132,八德區清潔隊,,,4140,4640,八德區清潔隊,16,,0000020533,-1
60536,KEG-3367,20250224,095808,20250224,100149,平鎮區中隊,,彈簧床,4810,5330,八德區清潔隊,17,,,-1
60537,KEG-3095,20250224,095745,20250224,100240,桃園區中隊,,桃園中隊(廢傢俱),4430,5280,八德區清潔隊,18,,,-1
60538,KEA-9797,20250224,100114,20250224,100304,中壢區中隊,,彈簧床,4250,5250,八德區清潔隊,19,,,-1
60539,448-VM,20250224,100752,20250224,101324,八德區清潔隊,社區定點,,7180,9870,八德區清潔隊,20,*,0000020589,-1
60540,KEG-3096,20250224,101543,20250224,102025,桃園區中隊,,桃園中隊(廢傢俱),4490,5350,八德區清潔隊,21,,,-1
